url,people,rate,type
https://leetcode.cn/problems/replace-all-s-to-avoid-consecutive-repeating-characters,670,0.507,easy
https://leetcode.cn/problems/customer-who-visited-but-did-not-make-any-transactions,370,0.745,easy
https://leetcode.cn/problems/special-positions-in-a-binary-matrix,484,0.692,easy
https://leetcode.cn/problems/bank-account-summary-ii,186,0.794,easy
https://leetcode.cn/problems/sum-of-all-odd-length-subarrays,1017,0.828,easy
https://leetcode.cn/problems/rearrange-spaces-between-words,588,0.466,easy
https://leetcode.cn/problems/crawler-log-folder,565,0.695,easy
https://leetcode.cn/problems/design-parking-system,606,0.836,easy
https://leetcode.cn/problems/sellers-with-no-sales,103,0.533,easy
https://leetcode.cn/problems/special-array-with-x-elements-greater-than-or-equal-x,830,0.614,easy
https://leetcode.cn/problems/maximum-nesting-depth-of-the-parentheses,883,0.819,easy
https://leetcode.cn/problems/mean-of-array-after-removing-some-elements,460,0.718,easy
https://leetcode.cn/problems/all-valid-triplets-that-can-represent-a-country,66,0.785,easy
https://leetcode.cn/problems/largest-substring-between-two-equal-characters,704,0.645,easy
https://leetcode.cn/problems/slowest-key,464,0.559,easy
https://leetcode.cn/problems/percentage-of-users-attended-a-contest,157,0.596,easy
https://leetcode.cn/problems/sort-array-by-increasing-frequency,622,0.747,easy
